row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,scene_imagery_library_scene_leyou_imagery_giant_roc,trigger_tags=[action:main:denggao]|weight=10,,灯火计数,残阳如凝血，浸透汉代荒冢的乱石。你站在土丘最高处，衣摆被风扯向长安方向，布料在肋骨上拉出紧绷的弦。长安城在暮色中渐次亮起灯火，你开始计数——第一盏，指节抵住腰带扣；第二盏，喉结向下沉一寸；第三盏，脚趾在靴内蜷紧。灯一盏接一盏地亮，你身体里有什么东西被一盏一盏地抽走。直到其中一盏，偏在东南角，比其他灯更亮更冷，像一把匕首插进暮色的肋间。然后黑暗涌上来，把所有灯牌位都吞没——光与暗的边界在你脚下，你站在黑暗这一侧。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_LEYOU),,,
random_event,scene_imagery_library_scene_leyou_imagery_cloud_and_sun,trigger_tags=[action:main:denggao]|weight=10,,天光碎尽灯如钉,乐游原荒冢上，长安城的屋脊将夕阳撕成锯齿。你数着渐次亮起的灯火——第一盏，喉结滑动；第三盏，指节扣进黄土；第七盏，耳膜嗡鸣。皇城方向那盏比所有灯都亮，像一根烧红的铁钉扎进眼底。最后一片暮色合拢时，所有灯光在泪膜上晕成一片——你看见的不是城，是一张被烛火烫出无数窟窿的纸。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_LEYOU),,,
random_event,scene_imagery_library_scene_dayan_imagery_giant_roc,trigger_tags=[action:main:denggao]|weight=10,,塔顶瞰轿,暮鼓声中，归鸦绕塔。你扶着栏杆，指节发白，视线在棋盘格般的坊市间游移。一辆官轿从东南坊门滑出，从塔顶看不过落叶大小，飘出十字街的棋格。你前倾，脊背绷直，仿佛要吞下那片小小的木片；又后仰，喉头收紧——你知道那顶轿子在地面上有多沉，轿帘里的人抬眼就能压垮你半条街。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_DAYAN),,,
random_event,scene_imagery_library_scene_dayan_imagery_cloud_and_sun,trigger_tags=[action:main:denggao]|weight=10,,云日塔顶炊烟散,日头被几块薄云交叠着裹住，天光如万千细针穿过云隙，一根一根钉在地上。俯首再望那宅邸，不过巴掌大，可你记得它门前的石阶——每一步都要仰起脖子才能看清匾额。暮鼓沉闷滚来，归鸦绕塔盘旋，你扶栏的手又往里扣了一分。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_DAYAN),,,
random_event,scene_imagery_library_scene_keshe_imagery_giant_roc,trigger_tags=[action:main:duzhuo]|weight=10,,寒夜闻升迁语,油灯爆了个灯花，隔壁传来压低的咳嗽声，一句“某某升了”穿过板壁。你的手顿在杯沿上——酒还温着，但指节已经发白。破墙上挂着一幅褪色的大鹏图，翅羽缺了半片，爪子里攥着一截断簪，簪头隐约是官制缠枝纹。你盯着那纹路看，直到酒彻底冷透，再没喝一口。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_KESHE),,,
random_event,scene_imagery_library_scene_jiusi_imagery_giant_roc,trigger_tags=[action:main:duzhuo]|weight=10,,暗角鹏影,胡姬的旋裙搅碎烛光，酒气裹着琵琶声糊在脸上。你坐在暗角，目光从舞动的肉体上移开，钉在对面那个人身上——他面前杯沿的酒痕早已干透，手指却始终压在杯沿，指骨凸起，像鹰爪扣住岩壁。周围的喧嚣绕着他打旋，他不动，连衣袍都不起褶皱。乐声骤停的刹那，他起身抖袖，内衬露出一角金线——大鹏翅骨根根分明，爪下五色祥云。你杯中的酒晃了一下，指节在杯把上勒出青白。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_JIUSI),,,
random_event,scene_imagery_library_scene_baqiao_imagery_giant_roc,trigger_tags=[action:main:duzhuo]|weight=10,,雪中无别,灞桥风雪中，送别的人群挤满酒亭。你站在檐下，看他们折柳、碰杯、抱拳——每一双手都在挥别。你的手臂垂在身侧，雪花落上袖口，化不开。远处雪幕里，一个骑马人的身影逐渐缩小，马铃被风声吞没。你身体微微前倾，随即绷直——面前的路被新雪覆盖，没有一个脚印朝你的方向延伸。,,,,,
>option,,,,,（冷眼旁观）,,emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_BAQIAO),,,
random_event,scene_imagery_library_scene_qujiang_imagery_giant_roc,trigger_tags=[action:main:jiaoyou]|weight=10,,曲水飞鹏影,酒杯漂至你面前，水面映出亭角飞檐的倒影。邻座有人吟出“大鹏一日同风起”，声音未落，你的目光已跟着那诗句攀上檐角——白云之下，檐角翘起如翅。你捏住酒杯的指节泛白，杯底在石面上磕出一声脆响。衣摆被风吹动时，你猛地低头，发现自己的上半身不知何时已探出座席半步。对面的主考官恰好抬眼看着你，嘴角未动。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_QUJIANG),,,
random_event,scene_imagery_library_scene_qujiang_imagery_cloud_and_sun,trigger_tags=[action:main:jiaoyou]|weight=10,,流觞碎影,流觞亭的水面，云影与飞檐倒映成完整的画卷。你伸手截住漂来的酒杯，指节在杯沿上压出白痕。有人吟出上句，你脖颈肌肉一绷，笑着接了下句——笑纹没有爬上眼角。斟酒时壶嘴偏了三分，浅了半寸。风掠过水面，倒影碎了；你垂眼，杯中酒面一片浑浊。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_QUJIANG),,,
random_event,scene_imagery_library_scene_zhaidi_imagery_giant_roc,trigger_tags=[action:main:jiaoyou]|weight=10,,冷案大鹏影,偏院冷案上的酒未沾唇，脊背挺得像一根门闩。内院传来杯盏碰撞声，传到廊下时已经钝了。一道银盘从月门端出，目光便咬住盘沿不放，脖颈跟着转了大半圈，直到那盘停在左边第三席。指节抵着杯壁，忘了松开。檐角青砖上，一只大鹏浮雕半没在暮霭里，翅尖的纹路尚可分辨。身体前倾了半寸，又被冷案的边角抵住——那道菜，不曾在这张案前停下。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_ZHAIDI),,,
random_event,scene_imagery_library_scene_zhaidi_imagery_cloud_and_sun,trigger_tags=[action:main:jiaoyou]|weight=10,,门帘掀起的那一瞬,背脊挺得发僵，像是脊椎骨要从皮肉里戳出来。酒杯握在指间，忘了放下，忘了喝，只是把它攥成一件道具。传菜小厮的路径从斜角切过，脖颈随着那道轨迹转动，幅度大得几乎拧出声来。风掀了门帘一脚，内院的地毯边缘露出来——那红色扎进眼底，像是太阳被云层咬去半边后残存的一线天光。远处桌上摆着整只炙羊，这边的案上空空如也。脊梁又拔高了一寸，指节在杯沿上泛白。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_ZHAIDI),,,
random_event,scene_imagery_library_scene_huji_imagery_giant_roc,trigger_tags=[action:main:jiaoyou]|weight=10,,大鹏玉佩,胡姬的琵琶声溅满酒肆，有人在角落痛哭，有人在桌上踏歌。你的视线越过这一切，钉在一个商人腰间的玉佩上——大鹏振翅，玉质温润，雕工是宫中的样式。一个不该出现在市井之物。身体微微一硬，手指在桌上叩了三下，像是数着翅膀扇动的次数。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=arrogance; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_HUJI),,,
random_event,scene_imagery_library_scene_huji_imagery_cloud_and_sun,trigger_tags=[action:main:jiaoyou]|weight=10,,碎光里的宫墙,胡姬的琵琶声撞碎在酒碗边缘，有人掀翻了案几大笑，有人抱着柱子呕吐。你在角落里——不是因为合群，是因为那儿阴影最厚。窗外阳光斜切进来，被窗棂和灰尘剖成一条条僵直的光柱，落在桌面上画出一片整齐的方格，像长安城的坊图。一个老兵趴在角落桌上，脸颊压着粗糙的木头，手掌摊开搭在桌沿——那光恰好落在他虎口上，指节投下的阴影在掌心划出一道竖线，像宫墙的轮廓。他嘴里含含糊糊地喊了一个字，声音闷在喉咙里，像被什么掐断了。你盯着那道阴影竖线看了很久，手里的酒杯攥得指节发白。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=15) | emo_add(name=frustration; val=10) | imagery_add(name=TARGET_MYTH_GIANTROC_HUJI),,,
random_event,scene_imagery_library_scene_dongshi_imagery_medicine_stall,trigger_tags=[action:main:fangshi]|weight=10,,药摊铜钱与膝盖,东市晌午，你蹲在药摊后，膝盖顶着粗粝的砖缝。三捆柴胡换了二十文，你低头数钱，指尖的草药汁在日头下泛着青黑——洗了三遍还在指甲缝里，像道嵌进去的疤。袖口蹭到戥子上的铜绿，晕开，又是一块洗不掉的印子。你伸直腿，膝盖咯噔一声，酸痛从骨缝里钻出来。旁边胡商吆喝着犀角，一匹绸缎从你摊前掠过，带起的风把你的药草吹歪了几根。你没抬头，掌心的铜钱磨得发烫——每一文都在替你记住蹲下时的重量。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=25) | emo_add(name=sorrow; val=10) | imagery_add(name=TARGET_OBJECT_MEDICINE_DONGSHI),,,
random_event,scene_imagery_library_scene_wenying_imagery_ink_for_sale,trigger_tags=[action:main:fangshi]|weight=10,,鬻文计数,笔尖在劣质纸上犁过，墨臭混着楼下酒肆的油烟气。主顾扔过来一袋钱，你握笔的手稳住，另一只手却在桌沿抠下一根木刺。他数铜板时，你的视线死死钉在他指缝间的钱币上——笔尖的沙沙声和叮当声搅在一起。一滴墨从笔锋坠落，恰好洇在钱袋的绳结上，黑色缓慢地渗进麻线纹理里。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=25) | emo_add(name=anger; val=10) | imagery_add(name=TARGET_OBJECT_INK_WENYING),,,
random_event,scene_imagery_library_scene_nanyuan_imagery_medicine_stall,trigger_tags=[action:main:fangshi]|weight=10,,血泡碾药土,那人的袍角扫过马镫，金线绣的云纹一闪。你低头，继续拔下一根草。指甲缝里的泥干了，戥子铜绿蹭在袖口，洗不掉。水桶里映出张脸——指甲嵌着泥，眉眼看不清，像是另一个人的。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=25) | emo_add(name=sorrow; val=10) | imagery_add(name=TARGET_OBJECT_MEDICINE_NANYUAN),,,
random_event,scene_imagery_library_scene_fumen_imagery_dry_lips,trigger_tags=[action:main:fangshi]|weight=10,,朱门酒肉香,你和其他几个候谒者挤在门房。诗稿边缘已被汗浸软，指腹磨出毛刺。门房的目光刮过你的喉结——你咽下一口唾沫，干裂的嘴唇嚅动着尚未出口的恭维话。脚步声响起，你站起。门开了，酒肉香泄出，在鼻腔绕了一圈就被冬天的冷风冲散——不是叫你。你坐回去，膝盖撞上板凳，骨节发白。视线钉在那扇重新合拢的门上。,,,,,
>option,,,,,（冷眼旁观）,,prop_add(name=money; val=25) | emo_add(name=sorrow; val=10) | imagery_add(name=TARGET_PLACE_JADESTEP_FUMEN),,,
